timestamp,cpu_percent,ram_total_gb,ram_used_gb,ram_percent
2026-06-04 11:31:02,22.9,30.8,,
2026-06-04 11:31:06,6.3,30.8,,
2026-06-04 11:33:25,16.6,30.8,19.26,62.6
2026-06-04 11:33:31,7.5,30.8,19.28,62.6
2026-06-04 11:33:35,7.7,30.8,19.3,62.7
2026-06-04 12:09:01,43.6,30.8,19.34,62.8
2026-06-04 12:10:49,15.9,30.8,19.63,63.8
2026-06-04 12:10:51,7.8,30.8,19.66,63.8
2026-06-04 12:12:24,10.2,30.8,19.81,64.3
2026-06-04 12:13:47,29.5,30.8,19.43,63.1
2026-06-04 12:14:44,13.4,30.8,19.32,62.7
2026-06-04 12:14:50,4.1,30.8,19.28,62.6
2026-06-04 12:14:52,10.1,30.8,19.28,62.6
2026-06-04 12:14:53,10.3,30.8,19.29,62.7
2026-06-04 12:14:55,14.1,30.8,19.3,62.7
2026-06-04 12:14:55,10.6,30.8,19.31,62.7
2026-06-04 12:14:55,21.4,30.8,19.35,62.8
2026-06-04 12:14:55,8.3,30.8,19.35,62.8
2026-06-04 12:14:55,8.3,30.8,19.34,62.8
2026-06-04 12:14:56,19.0,30.8,19.35,62.8
2026-06-04 12:14:56,14.0,30.8,19.35,62.8
2026-06-04 12:14:56,6.8,30.8,19.35,62.8
2026-06-04 12:14:56,7.7,30.8,19.35,62.8
2026-06-04 12:14:56,3.9,30.8,19.34,62.8
2026-06-04 12:14:57,17.0,30.8,19.34,62.8
2026-06-04 12:14:57,7.1,30.8,19.34,62.8
2026-06-04 12:14:57,6.9,30.8,19.34,62.8
2026-06-04 12:14:57,5.7,30.8,19.34,62.8
2026-06-04 12:14:57,5.4,30.8,19.34,62.8
2026-06-04 12:14:57,26.9,30.8,19.33,62.8
2026-06-04 12:14:58,6.5,30.8,19.36,62.9
2026-06-04 12:14:58,16.2,30.8,19.36,62.9
2026-06-04 12:14:58,19.0,30.8,19.36,62.9
2026-06-04 12:14:58,5.2,30.8,19.36,62.9
2026-06-04 12:15:00,4.8,30.8,19.36,62.9
2026-06-04 12:15:01,18.0,30.8,19.35,62.8
2026-06-04 12:15:01,13.0,30.8,19.38,62.9
2026-06-04 12:15:02,2.6,30.8,19.38,62.9
2026-06-04 12:15:03,5.8,30.8,19.37,62.9
2026-06-04 12:15:03,4.5,30.8,19.38,62.9
2026-06-04 12:15:04,21.8,30.8,19.36,62.9
2026-06-04 12:15:04,7.6,30.8,19.36,62.9
2026-06-04 12:15:04,12.1,30.8,19.36,62.9
2026-06-04 12:15:05,26.9,30.8,19.36,62.9
2026-06-04 12:15:05,8.9,30.8,19.35,62.8
2026-06-04 12:15:06,12.3,30.8,19.36,62.9
2026-06-04 12:15:07,18.4,30.8,19.36,62.9
2026-06-04 12:15:08,8.4,30.8,19.38,62.9
2026-06-04 12:15:30,14.9,30.8,19.47,63.2
2026-06-04 12:15:31,8.1,30.8,19.49,63.3
2026-06-04 12:15:44,35.7,30.8,19.47,63.2
2026-06-04 12:15:46,19.5,30.8,19.47,63.2
2026-06-04 12:25:00,46.5,30.8,19.48,63.3
2026-06-04 12:31:11,23.8,30.8,19.55,63.5
2026-06-04 12:36:32,5.6,30.8,18.57,60.3
2026-06-04 12:36:51,16.7,30.8,18.61,60.4
2026-06-04 12:40:33,5.8,30.8,19.25,62.5
2026-06-04 12:40:34,8.3,30.8,19.27,62.6
2026-06-04 12:43:45,12.8,30.8,19.3,62.7
2026-06-04 12:43:55,4.5,30.8,19.4,63.0
2026-06-04 12:46:01,29.4,30.8,19.61,63.7
2026-06-04 13:27:24,32.0,30.8,20.02,65.0
2026-06-04 13:27:46,7.1,30.8,19.94,64.8
2026-06-04 13:27:47,11.0,30.8,19.97,64.8
2026-06-04 13:27:49,13.3,30.8,19.98,64.9
